hotel_name,hotel_location,hotel_prices,hotel_rating_number,hotel_review_number,link
citizenM Zürich,"市中心老城区, 苏黎世",CHF 186,8.6,4035,https://www.booking.com/hotel/ch/citizenm-zurich.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-2554935&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=e86a4775b27402ad&srepoch=1745662188&all_sr_blocks=452808101_409354915_2_2_0_636831&highlighted_blocks=452808101_409354915_2_2_0_636831&matching_block_id=452808101_409354915_2_2_0_636831&sr_pri_blocks=452808101_409354915_2_2_0_636831_18600&from=searchresults
Aparthotel Adagio Zurich City Center,"安特施塔斯, 苏黎世",CHF 175,8.1,2893,https://www.booking.com/hotel/ch/aparthotel-adagio-zurich-center.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-2554935&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=e86a4775b27402ad&srepoch=1745662188&all_sr_blocks=730689702_326010334_2_2_0&highlighted_blocks=730689702_326010334_2_2_0&matching_block_id=730689702_326010334_2_2_0&sr_pri_blocks=730689702_326010334_2_2_0__17526&from=searchresults
MEININGER Hotel Zürich Greencity,"沃利斯霍芬, 苏黎世",CHF 129,8.1,7901,https://www.booking.com/hotel/ch/meininger-zurich-greencity.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-2554935&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=e86a4775b27402ad&srepoch=1745662188&all_sr_blocks=713822102_298393094_2_2_0_496039&highlighted_blocks=713822102_298393094_2_2_0_496039&matching_block_id=713822102_298393094_2_2_0_496039&sr_pri_blocks=713822102_298393094_2_2_0_496039_12860&from=searchresults
祖利法斯班德酒店,"Gewerbeschule, 苏黎世",CHF 150,8.2,4148,https://www.booking.com/hotel/ch/zuri.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-2554935&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=e86a4775b27402ad&srepoch=1745662188&all_sr_blocks=6511009_394523615_0_2_0_281915&highlighted_blocks=6511009_394523615_0_2_0_281915&matching_block_id=6511009_394523615_0_2_0_281915&sr_pri_blocks=6511009_394523615_0_2_0_281915_15000&from=searchresults
Fred Hotel Zürich Hauptbahnhof,苏黎世,CHF 194,8.6,1082,https://www.booking.com/hotel/ch/fred-hotel-hauptbahnhof.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-2554935&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=e86a4775b27402ad&srepoch=1745662188&all_sr_blocks=6518713_384108598_2_2_0&highlighted_blocks=6518713_384108598_2_2_0&matching_block_id=6518713_384108598_2_2_0&sr_pri_blocks=6518713_384108598_2_2_0__19400&from_sustainable_property_sr=1&from=searchresults
Fred Guest House Zürich Hauptbahnhof,苏黎世,CHF 158,8.4,1184,https://www.booking.com/hotel/ch/fred-hotel-hauptbahnhof-guest-house.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-2554935&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=e86a4775b27402ad&srepoch=1745662188&all_sr_blocks=37327308_384108538_2_2_0_163549&highlighted_blocks=37327308_384108538_2_2_0_163549&matching_block_id=37327308_384108538_2_2_0_163549&sr_pri_blocks=37327308_384108538_2_2_0_163549_15800&from_sustainable_property_sr=1&from=searchresults
Hotel Stoller,"维迪肯, 苏黎世",CHF 151,8.5,948,https://www.booking.com/hotel/ch/mercurehotelstoller.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-2554935&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=e86a4775b27402ad&srepoch=1745662188&all_sr_blocks=6537507_391811792_2_2_0&highlighted_blocks=6537507_391811792_2_2_0&matching_block_id=6537507_391811792_2_2_0&sr_pri_blocks=6537507_391811792_2_2_0__15100&from=searchresults
圣哥特哈尔德酒店,"市中心老城区, 苏黎世",CHF 267,8.3,3413,https://www.booking.com/hotel/ch/gotthard.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-2554935&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=e86a4775b27402ad&srepoch=1745662188&all_sr_blocks=6505703_393273428_2_2_0_321201&highlighted_blocks=6505703_393273428_2_2_0_321201&matching_block_id=6505703_393273428_2_2_0_321201&sr_pri_blocks=6505703_393273428_2_2_0_321201_26700&from=searchresults
苏黎世城西宜必思快捷酒店,"Gewerbeschule, 苏黎世",CHF 147,7.2,6208,https://www.booking.com/hotel/ch/ibis-budget-zurich-city-west.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-2554935&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=e86a4775b27402ad&srepoch=1745662188&all_sr_blocks=57655202_376293314_2_2_0&highlighted_blocks=57655202_376293314_2_2_0&matching_block_id=57655202_376293314_2_2_0&sr_pri_blocks=57655202_376293314_2_2_0__14700&from_sustainable_property_sr=1&from=searchresults
Swiss Star Aussersihl - Self Check-In,"Aussersihl, 苏黎世",CHF 137,6.7,1060,https://www.booking.com/hotel/ch/zurich-aussersihl-apartments-swiss-star.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-2554935&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=e86a4775b27402ad&srepoch=1745662188&all_sr_blocks=7371201_89027707_0_0_0_254817&highlighted_blocks=7371201_89027707_0_0_0_254817&matching_block_id=7371201_89027707_0_0_0_254817&sr_pri_blocks=7371201_89027707_0_0_0_254817_13680&from=searchresults
Swiss Star Longstreet - Self Check-In,"长街区, 苏黎世",CHF 137,6.2,1369,https://www.booking.com/hotel/ch/guesthouse-langstrasse.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-2554935&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=e86a4775b27402ad&srepoch=1745662188&all_sr_blocks=124553402_89047600_0_0_0_231059&highlighted_blocks=124553402_89047600_0_0_0_231059&matching_block_id=124553402_89047600_0_0_0_231059&sr_pri_blocks=124553402_89047600_0_0_0_231059_13680&from=searchresults
索丽尔苏黎伯格酒店,"苏黎伯格区, 苏黎世",CHF 243,8.8,2789,https://www.booking.com/hotel/ch/sorellzurichberg.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-2554935&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=e86a4775b27402ad&srepoch=1745662188&all_sr_blocks=6519512_399952868_2_1_0_546656&highlighted_blocks=6519512_399952868_2_1_0_546656&matching_block_id=6519512_399952868_2_1_0_546656&sr_pri_blocks=6519512_399952868_2_1_0_546656_24330&from_sustainable_property_sr=1&from=searchresults
吕特里索雷尔酒,"市中心老城区, 苏黎世",CHF 227,8.2,2521,https://www.booking.com/hotel/ch/rutli.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-2554935&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=e86a4775b27402ad&srepoch=1745662188&all_sr_blocks=6511803_99805070_2_1_0_546675&highlighted_blocks=6511803_99805070_2_1_0_546675&matching_block_id=6511803_99805070_2_1_0_546675&sr_pri_blocks=6511803_99805070_2_1_0_546675_22700&from_sustainable_property_sr=1&from=searchresults
Swiss Star Zurich Sihlfeld - Self Check-In,"维迪肯, 苏黎世",CHF 125,6.1,990,https://www.booking.com/hotel/ch/zurich-wiedikon-apartments-swiss-star-zurich.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-2554935&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=e86a4775b27402ad&srepoch=1745662188&all_sr_blocks=7371601_89027710_0_0_0_230824&highlighted_blocks=7371601_89027710_0_0_0_230824&matching_block_id=7371601_89027710_0_0_0_230824&sr_pri_blocks=7371601_89027710_0_0_0_230824_12540&from=searchresults
中央广场酒店,"市中心老城区, 苏黎世",CHF 302,8.2,3064,https://www.booking.com/hotel/ch/centralplaza.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-2554935&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=e86a4775b27402ad&srepoch=1745662188&all_sr_blocks=6501702_380864959_0_2_0&highlighted_blocks=6501702_380864959_0_2_0&matching_block_id=6501702_380864959_0_2_0&sr_pri_blocks=6501702_380864959_0_2_0__30200&from_sustainable_property_sr=1&from=searchresults
